gender,maturity,dw
F,1,41
M,1,33
M,1,32
M,1,34
M,1,30
M,1,32
M,1,36
M,0,31
M,1,34
M,1,38
M,0,31
M,0,18
M,1,28
M,1,25
M,0,17
M,1,28
F,1,34
M,1,31
M,1,27
M,1,30
M,1,28
M,1,29
M,1,32
M,1,26
M,1,28
F,1,33
M,1,24
M,1,27
M,1,28
M,1,27
F,1,31
M,1,26
M,1,27
M,1,28
M,1,25
M,1,28
M,1,27
M,0,18
M,1,32
M,1,27
F,1,31
M,0,13
F,1,32
M,1,29
M,1,33
M,1,29
M,0,13
M,1,33
M,1,34
M,1,31
M,1,34
F,1,29
M,1,40
M,1,26
M,1,28
M,1,30
F,1,32
F,0,13
M,1,36
M,1,36
M,1,35
M,1,36
M,1,24
M,0,14
M,0,14
M,0,14
M,0,31
M,0,28
F,1,38
M,0,10
M,0,10
M,0,30
M,0,31
M,1,33
M,0,16
M,1,30
M,1,27
M,0,24
M,0,33
M,1,30
F,1,44
F,0,9.2
M,1,36
M,1,36
M,1,38
M,0,31
M,1,33
M,0,37
M,1,34
M,0,37
M,0,37
M,0,37
M,0,35
M,1,27
M,0,17
M,0,29
M,1,29
M,1,34
M,1,33
M,0,28
F,1,34.5
M,1,31
F,1,41
M,1,32
M,1,32
M,0,27
M,0,24
M,1,31
M,0,21
F,0,10.4
M,1,35
M,1,31.5
M,1,25
M,0,28
M,1,35
M,1,33
M,0,30
M,1,31
M,0,29
M,0,29
M,1,29
M,1,32
M,0,30
M,1,33
M,0,32
M,1,32
M,0,24
M,0,22
M,1,28
M,0,27
M,0,20
M,0,29
M,1,28
M,1,27
M,1,26
M,1,29
M,1,26
M,1,26
M,1,29
F,1,32
F,0,9
M,0,18.5
M,1,31
M,1,36
M,1,32
M,1,36.5
M,0,27.5
M,0,19.5
M,0,20.5
M,0,28
M,1,34
M,1,35
M,0,26
M,1,33
M,1,37
M,0,33
F,0,7.5
M,1,31.5
M,0,19.5
M,1,33
M,1,33.5
M,0,28
F,1,32
F,0,13.5
M,1,30
M,0,23
M,1,34
M,0,30
M,0,32
M,0,32
M,0,32
M,0,28
M,1,33.5
M,1,36.5
M,0,30
M,0,25
M,0,28
M,0,22
M,0,23
M,1,28
M,1,32.5
M,1,32
M,1,35
M,1,39.5
M,0,27
M,0,22
M,1,35
M,0,27.5
M,1,28
M,0,23.5
M,1,30.5
M,0,31
M,1,33
M,1,32
M,1,34
M,1,30
M,1,29
M,1,31
M,0,35
M,1,36
M,1,36
M,1,35
F,1,36
F,0,10.5
M,1,36
M,0,25
M,1,28
M,1,24
M,1,26
M,1,28
M,0,25
M,0,22.5
F,1,35
F,0,15.3
F,1,28.5
M,0,11.8
M,0,28
M,1,33
M,1,30
M,1,33
M,1,36
F,1,31
M,0,16
M,0,34
M,1,38
